ProductType,ModelName,ModelFeatures,Price
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V43,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V44,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V45,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V46,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V47,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Canon EOS R5 V48,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V49,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V50,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V51,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Microsoft Xbox Series X V52,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V53,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Canon EOS R5 V54,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V55,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V56,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V57,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V58,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V59,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V60,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V61,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V62,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V63,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V64,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V65,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V66,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V67,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V68,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V69,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V70,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V71,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V72,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V73,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Canon EOS R5 V74,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V75,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V76,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Sony Alpha a7 III V77,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V78,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V79,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V80,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V81,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V82,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Nintendo Switch OLED V83,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V84,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V85,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V86,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V87,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V88,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V89,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V90,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V91,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V92,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V93,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V94,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V95,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V96,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Nikon Z6 II V97,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V98,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V99,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V1,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V2,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V3,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V4,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V5,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V6,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Sony Alpha a7 III V7,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V8,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V9,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V10,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V11,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V12,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V13,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V14,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V15,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V16,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V17,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V18,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V19,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V20,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V21,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V22,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V23,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V24,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V25,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V26,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V27,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V28,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V29,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V30,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V31,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V32,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V33,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V34,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V35,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V36,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V37,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V38,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V39,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V40,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V41,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V42,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V43,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V44,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V45,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V46,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V47,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V48,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V49,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V50,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Sony Alpha a7 III V51,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V52,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V53,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V54,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V55,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V56,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V57,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V58,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V59,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V60,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V61,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V62,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V63,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V64,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V65,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V66,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V67,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V68,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V69,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V70,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V71,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V72,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Nintendo Switch OLED V73,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V74,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V75,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V76,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V77,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V78,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V79,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
